img_names,1,2,3,4
697ff5265.jpg,0,0,0,0
0002cc93b.jpg,1,0,0,0
00031f466.jpg,0,0,0,0
000418bfc.jpg,0,0,0,0
000789191.jpg,0,0,0,0
0007a71bf.jpg,0,0,1,0
000a4bcdd.jpg,1,0,0,0
000f6bf48.jpg,0,0,0,1
0014fce06.jpg,0,0,1,0
001d1b355.jpg,0,0,0,0
0025bde0c.jpg,0,0,1,1
002af848d.jpg,0,0,0,1
002e73b3c.jpg,0,0,0,0
0030401a5.jpg,0,0,0,1
005b92582.jpg,0,0,0,0
005d86c25.jpg,0,0,1,0
005da33cf.jpg,0,0,0,0
005dbf0e0.jpg,0,0,0,0
005f02e20.jpg,0,0,1,0
005f19695.jpg,0,0,1,0
006a4402e.jpg,0,0,0,0
00762aa3b.jpg,0,0,0,0
007f28bba.jpg,0,0,0,0
008479d08.jpg,0,0,0,0
008621629.jpg,0,0,0,1
0088260da.jpg,0,0,1,0
00894274f.jpg,0,0,0,0
008b9acf5.jpg,0,0,0,0
008d0f87b.jpg,0,0,1,0
008ef3d74.jpg,1,1,0,0
009b12ccc.jpg,0,0,0,0
00ac8372f.jpg,1,1,0,0
00af2671f.jpg,0,0,1,0
00bc01bfe.jpg,1,0,0,0
00bf8497a.jpg,0,0,1,0
00c24a74c.jpg,0,0,0,0
00c6060db.jpg,0,0,0,0
00cdb56a0.jpg,0,0,1,0
00d639396.jpg,0,0,1,0
00d7ae946.jpg,0,0,0,0
00dcb19f3.jpg,0,0,0,0
00ded7837.jpg,0,0,0,0
00e0398ad.jpg,0,0,1,0
00ec97699.jpg,0,0,1,0
00f1665e6.jpg,0,0,1,0
00f6e702c.jpg,0,0,1,0
00f95222c.jpg,0,0,0,0
00fe7f023.jpg,0,0,0,0
0101e2cf0.jpg,0,0,0,0
01053d28f.jpg,1,0,0,0
010db68d1.jpg,1,0,0,0
012a4581b.jpg,0,0,0,0
012a9a4c7.jpg,1,0,0,0
012d29df4.jpg,0,0,1,0
012f26693.jpg,0,0,1,1
01338c0ea.jpg,0,0,1,0
0139dd004.jpg,0,0,1,0
0141c9bf3.jpg,0,0,1,0
014409fcc.jpg,0,0,0,0
0148e9891.jpg,0,0,1,0
014ebe543.jpg,0,0,1,0
0095cd374.jpg,0,0,1,0
01540cab1.jpg,0,0,1,0
01b492dd6.jpg,0,0,1,0
0218c0fcc.jpg,0,0,0,1
028ed7768.jpg,0,0,1,0
02ea1d0e8.jpg,0,0,0,0
03af7f0c0.jpg,0,0,0,0
04238d7e3.jpg,0,0,0,0
04933e7f0.jpg,0,0,0,0
0549ad8ba.jpg,0,0,0,0
05bb18957.jpg,0,0,0,0
063fa1630.jpg,0,0,0,1
015ed7fac.jpg,0,0,0,0
0167a740e.jpg,1,0,0,0
016af13d0.jpg,0,0,1,0
016efe618.jpg,0,0,0,1
017c828a1.jpg,1,0,0,0
017d75655.jpg,0,0,0,0
018ccdfed.jpg,0,0,0,1
01919944c.jpg,0,0,1,0
0198ab92d.jpg,0,0,0,0
019f42c2a.jpg,0,0,1,0
01a1027ce.jpg,0,0,1,0
01afbfa7a.jpg,0,0,0,1
01b043500.jpg,0,0,1,0
01b237ab8.jpg,0,0,0,0
01c3ef286.jpg,0,0,1,0
01cf446d4.jpg,0,0,1,0
01cfacf80.jpg,0,0,1,1
01d590c5f.jpg,0,0,0,0
01d97b205.jpg,0,0,0,0
01dbcd2ec.jpg,0,0,0,0
01df77e59.jpg,1,0,0,0
01e020dc5.jpg,0,0,1,0
01e501f99.jpg,0,0,0,0
01e69cfc3.jpg,0,0,0,0
01ebe0d32.jpg,0,0,1,0
01fd320c9.jpg,0,0,1,0
01fd50e68.jpg,0,0,1,0
0202a5f22.jpg,0,0,0,0
02291e913.jpg,0,0,1,0
023353d24.jpg,0,0,0,0
023a21cf2.jpg,0,0,0,0
02449f836.jpg,0,0,0,0
025cb9f6e.jpg,0,0,1,0
026105525.jpg,0,0,0,0
026183d85.jpg,0,1,0,0
02701c239.jpg,0,0,1,0
0274a26b4.jpg,0,0,0,0
02761e0d1.jpg,0,0,0,0
027b280f4.jpg,0,0,0,0
0281aba7b.jpg,0,0,1,0
0285f63ad.jpg,0,0,0,0
028eb44d1.jpg,0,0,1,0
0294f23c0.jpg,0,0,1,0
02a78fb18.jpg,0,0,0,0
02aa62471.jpg,0,0,0,0
02b2cb5c3.jpg,0,0,0,0
02b2d3aa4.jpg,1,0,0,0
02b6b9f29.jpg,0,0,0,0
02b906933.jpg,0,0,1,0
02bb80457.jpg,0,0,0,0
02bf279c9.jpg,0,0,1,0
02c4655ff.jpg,1,0,0,0
02c79bfcb.jpg,0,0,1,0
02c7f44d9.jpg,0,0,0,0
02d006f47.jpg,0,0,0,0
02d18b8a4.jpg,0,0,1,0
02d3ca489.jpg,0,0,0,0
02d573611.jpg,0,0,0,1
02d8c6b30.jpg,0,0,1,0
030336aa4.jpg,0,0,0,0
031179c6e.jpg,0,0,0,0
031614d60.jpg,0,0,0,0
031f334ec.jpg,0,0,1,0
031fc45b5.jpg,0,0,0,0
03216ed91.jpg,0,0,0,0
03284f71b.jpg,0,0,0,0
0340e13c4.jpg,0,0,1,0
034941f9d.jpg,0,0,1,0
034a72783.jpg,0,0,0,0
034b387c3.jpg,0,0,0,0
034e64ff3.jpg,0,0,0,0
035021da2.jpg,0,0,1,0
0360edfb8.jpg,0,0,1,0
036505ca3.jpg,0,0,0,0
036c4e5d2.jpg,1,0,0,0
